Row Label,County,Registered Voters,Steve Rosen,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 34-1498,KI,668,178,147,330,0,5
SEA 34-1499,KI,483,122,164,289,0,3
SEA 34-1258,KI,341,123,101,225,0,1
SEA 46-2257,KI,799,234,272,509,0,3
SEA 34-1490,KI,437,120,113,235,0,2
SEA 34-1493,KI,722,183,136,320,0,1
SEA 34-1494,KI,536,137,127,265,0,1
SEA 34-1496,KI,826,194,193,389,0,2
SEA 34-1497,KI,728,181,151,336,0,4
SEA 46-2267,KI,518,129,110,241,0,2
SEA 37-1920,KI,574,179,159,339,0,1
SEA 46-2264,KI,768,239,244,487,0,4
SEA 37-1925,KI,319,70,79,153,0,4
SEA 37-1927,KI,409,95,120,216,0,1
SEA 46-2260,KI,722,236,273,511,0,2
SEA 46-2340,KI,680,164,214,381,0,3
SEA 11-1942,KI,526,123,145,271,0,3
SEA 11-1941,KI,431,85,136,224,0,3
SEA 37-1841,KI,813,177,210,396,0,9
SEA 11-1947,KI,453,102,99,204,0,3
SEA 46-2345,KI,294,84,112,196,0,0
SEA 11-1945,KI,703,169,170,341,0,2
SEA 46-2268,KI,330,93,112,205,0,0
SEA 43-1999,KI,439,126,144,270,0,0
SEA 43-1851,KI,694,193,218,413,0,2
SEA 43-1856,KI,579,162,155,322,0,5
SEA 37-1621,KI,342,79,72,151,0,0
SEA 43-1855,KI,619,132,201,337,0,4
SEA 43-1993,KI,238,76,69,147,0,2
SEA 43-1992,KI,652,175,233,410,0,2
SEA 43-1858,KI,335,90,107,203,0,6
SEA 43-1859,KI,553,125,160,286,0,1
SEA 43-1997,KI,295,90,103,194,0,1
SEA 43-1996,KI,298,87,106,193,0,0
SEA 43-1995,KI,244,79,83,163,0,1
SEA 43-1857,KI,528,112,135,251,0,4
SEA 46-2317,KI,433,122,144,269,0,3
SEA 43-3685,KI,258,82,74,158,0,2
SEA 46-2346,KI,364,93,98,193,0,2
SEA 43-2052,KI,445,72,70,143,0,1
SEA 46-2127,KI,494,143,135,278,0,0
SEA 43-1991,KI,839,244,240,487,0,3
SEA 43-1990,KI,458,130,130,260,0,0
SEA 43-2064,KI,370,62,85,148,0,1
SEA 46-2310,KI,386,140,135,277,0,2
SEA 46-2286,KI,437,141,137,279,0,1
SEA 36-3689,KI,398,74,89,166,0,3
SEA 43-1378,KI,308,93,125,219,0,1
SEA 46-2305,KI,364,116,136,253,0,1
SEA 36-3686,KI,501,139,114,254,0,1
SEA 46-2280,KI,645,171,223,396,0,2
SEA 43-2543,KI,313,80,71,153,0,2
SEA 46-2369,KI,419,152,108,262,0,2
SEA 46-2328,KI,299,61,86,147,0,0
SEA 43-2040,KI,476,90,122,214,0,2
SEA 46-2282,KI,653,207,222,429,0,0
SEA 46-2319,KI,506,131,192,323,0,0
SEA 46-2098,KI,436,135,150,285,0,0
SEA 46-2318,KI,277,92,94,188,0,2
SEA 36-1746,KI,313,109,94,203,0,0
SEA 36-1747,KI,296,87,108,195,0,0
SEA 36-1744,KI,393,95,133,228,0,0
SEA 46-2325,KI,405,153,86,242,0,3
SEA 36-1742,KI,296,101,83,185,0,1
SEA 36-1743,KI,391,96,110,206,0,0
SEA 36-1740,KI,323,89,117,208,0,2
SEA 36-1741,KI,325,91,116,207,0,0
SEA 43-2075,KI,458,77,86,163,0,0
SEA 43-2074,KI,564,131,184,316,0,1
SEA 43-2076,KI,403,64,71,137,0,2
SEA 43-2071,KI,371,126,134,260,0,0
SEA 36-2590,KI,364,113,98,213,0,2
SEA 36-1748,KI,261,81,87,169,0,1
SEA 36-1749,KI,681,183,184,370,0,3
SEA 46-2274,KI,256,75,92,167,0,0
SEA 46-2349,KI,382,104,116,220,0,0
SEA 43-2110,KI,452,91,94,186,0,1
SEA 34-1520,KI,314,91,98,190,0,1
SEA 34-1521,KI,266,90,90,181,0,1
SEA 34-1522,KI,261,90,81,171,0,0
SEA 34-1523,KI,296,91,102,193,0,0
SEA 34-1524,KI,291,100,99,199,0,0
SEA 34-1526,KI,248,69,87,156,0,0
SEA 34-1527,KI,684,195,153,351,0,3
SEA 43-1377,KI,330,104,103,207,0,0
SEA 34-1529,KI,266,61,70,132,0,1
SEA 43-1375,KI,327,97,122,222,0,3
SEA 43-1374,KI,295,78,127,205,0,0
