Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Willie Gregory,Write-in
SEA 43-3320,KI,515,110,241,0,130,1
SEA 36-1661,KI,277,101,193,0,92,0
SEA 43-2014,KI,352,144,260,0,116,0
SEA 36-1663,KI,275,115,205,0,90,0
SEA 36-1709,KI,359,73,154,0,79,2
SEA 36-1665,KI,515,197,356,0,158,1
SEA 36-1664,KI,326,115,218,0,102,1
SEA 46-1963,KI,278,86,152,0,66,0
SEA 36-1666,KI,572,164,360,0,195,1
SEA 36-1702,KI,606,213,372,0,156,3
SEA 36-1668,KI,443,118,244,0,123,3
SEA 36-1700,KI,383,87,208,0,120,1
SEA 36-1701,KI,331,110,231,0,120,1
SEA 46-1969,KI,278,91,169,0,77,1
SEA 11-1641,KI,539,76,183,0,107,0
SEA 36-1704,KI,640,117,251,0,132,2
SEA 46-2094,KI,283,87,178,0,90,1
SEA 46-2095,KI,279,104,187,0,82,1
SEA 36-3319,KI,867,187,365,0,178,0
SEA 36-3318,KI,680,226,428,0,199,3
SEA 46-2090,KI,494,122,262,0,140,0
SEA 46-2091,KI,451,128,265,0,137,0
SEA 46-2092,KI,311,115,225,0,110,0
SEA 46-2093,KI,462,167,317,0,150,0
SEA 34-1411,KI,307,95,197,0,102,0
SEA 46-2099,KI,437,148,293,0,143,2
SEA 43-2853,KI,440,106,206,0,100,0
SEA 43-2852,KI,501,120,226,0,104,2
SEA 36-1689,KI,484,156,313,0,157,0
SEA 36-1688,KI,273,96,179,0,83,0
SEA 43-2113,KI,393,61,140,0,77,2
SEA 36-1683,KI,305,114,205,0,91,0
SEA 36-1682,KI,309,95,190,1,93,1
SEA 34-1409,KI,422,156,270,0,113,1
SEA 34-1408,KI,708,228,481,0,251,2
SEA 36-1687,KI,644,146,309,0,161,2
SEA 36-1686,KI,768,164,352,0,186,2
SEA 36-1685,KI,418,104,220,0,116,0
SEA 36-1684,KI,338,83,173,0,90,0
SEA 43-1333,KI,340,127,229,0,102,0
SEA 43-1332,KI,385,151,267,0,115,1
SEA 43-1331,KI,366,110,224,0,114,0
SEA 37-1647,KI,669,156,349,0,191,2
SEA 43-1335,KI,637,190,377,0,186,1
SEA 43-1334,KI,446,140,262,0,119,3
SEA 36-1768,KI,331,108,201,0,93,0
SEA 43-1339,KI,298,102,187,0,83,2
SEA 43-1338,KI,449,165,302,0,136,1
SEA 43-1861,KI,750,236,432,0,193,3
SEA 46-2297,KI,283,86,169,0,81,2
SEA 46-2261,KI,256,94,175,0,81,0
SEA 36-2172,KI,319,112,214,0,100,2
SEA 37-1643,KI,682,82,228,0,145,1
SEA 34-1476,KI,273,93,170,0,77,0
SEA 34-1477,KI,307,113,200,0,87,0
SEA 34-1474,KI,402,128,227,0,99,0
SEA 34-1475,KI,311,97,176,0,79,0
SEA 34-1472,KI,239,84,171,0,87,0
SEA 34-1473,KI,319,82,180,0,98,0
SEA 34-1470,KI,677,162,352,0,186,4
SEA 34-1471,KI,492,151,305,0,153,1
SEA 43-3424,KI,407,113,219,0,105,1
SEA 36-2149,KI,367,139,261,0,120,2
SEA 36-2148,KI,359,125,229,0,104,0
SEA 34-1478,KI,253,86,163,0,76,1
SEA 34-1479,KI,313,95,200,0,104,1
SEA 34-1259,KI,328,94,205,0,109,2
SEA 43-2050,KI,442,98,222,0,120,4
SEA 37-1567,KI,332,70,156,0,86,0
SEA 37-1648,KI,695,143,327,0,181,3
SEA 37-3617,KI,553,117,235,0,115,3
SEA 46-2295,KI,481,172,310,0,138,0
SEA 34-1498,KI,668,157,330,0,171,2
SEA 34-1499,KI,483,162,289,0,125,2
SEA 34-1258,KI,341,100,225,0,124,1
SEA 46-2257,KI,799,281,509,0,227,1
SEA 34-1490,KI,437,110,235,0,123,2
SEA 34-1493,KI,722,139,320,0,180,1
SEA 34-1494,KI,536,125,265,0,140,0
SEA 34-1496,KI,826,186,389,0,201,2
SEA 34-1497,KI,728,151,336,0,180,5
SEA 46-2267,KI,518,110,241,0,131,0
SEA 37-1920,KI,574,154,339,0,183,2
SEA 46-2264,KI,768,235,487,0,250,2
SEA 37-1925,KI,319,80,153,0,72,1
SEA 37-1927,KI,409,117,216,0,99,0
SEA 46-2260,KI,722,255,511,0,254,2
SEA 46-2340,KI,680,208,381,0,170,3
SEA 11-1942,KI,526,143,271,0,125,3
SEA 11-1941,KI,431,135,224,0,87,2
SEA 37-1841,KI,813,205,396,0,187,4
SEA 11-1947,KI,453,104,204,0,97,3
SEA 46-2345,KI,294,111,196,0,85,0
SEA 11-1945,KI,703,165,341,0,174,2
SEA 46-2268,KI,330,111,205,0,94,0
SEA 43-1999,KI,439,143,270,0,127,0
SEA 43-1851,KI,694,220,413,0,193,0
SEA 43-1856,KI,579,148,322,0,171,3
SEA 37-1621,KI,342,73,151,0,78,0
SEA 43-1855,KI,619,201,337,0,133,3
SEA 43-1993,KI,238,68,147,0,77,2
SEA 43-1992,KI,652,240,410,0,169,1
SEA 43-1858,KI,335,104,203,0,94,5
SEA 43-1859,KI,553,162,286,0,123,1
SEA 43-1997,KI,295,101,194,0,91,2
SEA 43-1996,KI,298,100,193,0,91,2
SEA 43-1995,KI,244,82,163,0,80,1
SEA 43-1857,KI,528,137,251,0,113,1
SEA 46-2317,KI,433,143,269,0,125,1
SEA 43-3685,KI,258,75,158,0,82,1
SEA 46-2346,KI,364,97,193,0,94,2
SEA 43-2052,KI,445,71,143,0,72,0
SEA 46-2127,KI,494,126,278,0,152,0
SEA 43-1991,KI,839,241,487,0,244,2
SEA 43-1990,KI,458,130,260,0,130,0
SEA 43-2064,KI,370,86,148,0,61,1
SEA 46-2310,KI,386,135,277,0,140,2
SEA 46-2286,KI,437,133,279,0,145,1
SEA 36-3689,KI,398,87,166,0,76,3
SEA 43-1378,KI,308,122,219,0,96,1
SEA 46-2305,KI,364,138,253,0,114,1
SEA 36-3686,KI,501,115,254,0,138,1
SEA 46-2280,KI,645,220,396,0,175,1
SEA 43-2543,KI,313,72,153,0,80,1
SEA 46-2369,KI,419,109,262,0,152,1
SEA 46-2328,KI,299,82,147,0,65,0
SEA 43-2040,KI,476,121,214,0,92,1
SEA 46-2282,KI,653,215,429,0,213,1
SEA 46-2319,KI,506,184,323,0,139,0
SEA 46-2098,KI,436,149,285,0,136,0
SEA 46-2318,KI,277,94,188,0,93,1
SEA 36-1746,KI,313,96,203,0,107,0
SEA 36-1747,KI,296,109,195,0,86,0
SEA 36-1744,KI,393,137,228,0,91,0
SEA 46-2325,KI,405,90,242,0,150,2
SEA 36-1742,KI,296,84,185,0,101,0
SEA 36-1743,KI,391,110,206,0,96,0
SEA 36-1740,KI,323,118,208,0,88,2
SEA 36-1741,KI,325,113,207,0,94,0
SEA 43-2075,KI,458,87,163,0,76,0
SEA 43-2074,KI,564,179,316,0,136,1
SEA 43-2076,KI,403,70,137,0,66,1
SEA 43-2071,KI,371,133,260,0,127,0
SEA 36-2590,KI,364,97,213,0,114,2
SEA 36-1748,KI,261,88,169,0,80,1
SEA 36-1749,KI,681,187,370,0,182,1
SEA 46-2274,KI,256,92,167,0,75,0
SEA 46-2349,KI,382,116,220,0,104,0
SEA 43-2110,KI,452,95,186,0,90,1
SEA 34-1520,KI,314,99,190,0,90,1
SEA 34-1521,KI,266,91,181,0,89,1
SEA 34-1522,KI,261,81,171,0,90,0
SEA 34-1523,KI,296,102,193,0,91,0
SEA 34-1524,KI,291,100,199,0,98,1
SEA 34-1526,KI,248,88,156,0,68,0
SEA 34-1527,KI,684,154,351,0,195,2
SEA 43-1377,KI,330,102,207,0,104,1
SEA 34-1529,KI,266,69,132,0,62,1
SEA 43-1375,KI,327,120,222,0,99,3
SEA 43-1374,KI,295,121,205,0,83,1
SEA 32-3568,KI,849,147,383,1,233,2
SEA 43-1372,KI,335,146,224,0,78,0
SEA 43-1278,KI,588,150,308,0,156,2
SEA 43-1279,KI,684,216,406,0,189,1
SEA 43-2862,KI,736,162,360,0,194,4
SEA 36-2518,KI,425,132,246,0,113,1
SEA 43-1887,KI,648,179,365,0,183,3
SEA 36-2512,KI,505,182,331,0,146,3
SEA 36-2513,KI,434,167,301,0,134,0
SEA 36-2510,KI,352,93,221,0,127,1
SEA 36-2118,KI,383,134,250,0,114,2
SEA 36-2517,KI,613,206,382,0,173,3
SEA 36-2514,KI,298,105,193,0,88,0
SEA 36-2515,KI,361,124,233,0,109,0
SEA 37-1619,KI,449,128,256,0,127,1
SEA 37-1618,KI,389,89,188,0,99,0
SEA 37-1613,KI,292,97,200,0,103,0
SEA 37-1612,KI,288,96,191,0,95,0
SEA 37-1611,KI,289,100,191,0,91,0
SEA 37-1610,KI,331,109,206,0,95,2
SEA 37-1617,KI,323,107,201,0,90,4
SEA 37-1616,KI,351,116,207,0,90,1
SEA 37-1615,KI,343,94,205,0,109,2
SEA 37-1614,KI,260,87,155,0,68,0
SEA 36-1324,KI,779,259,477,0,216,2
SEA 36-1732,KI,449,145,278,0,132,1
SEA 36-1731,KI,404,123,230,0,107,0
SEA 36-1730,KI,385,136,222,0,86,0
SEA 36-1737,KI,416,89,193,0,102,2
SEA 36-1736,KI,341,115,209,0,93,1
SEA 36-1735,KI,252,90,160,0,70,0
SEA 36-1734,KI,497,140,286,0,146,0
SEA 46-2128,KI,542,121,247,0,124,2
SEA 36-1739,KI,309,99,207,0,108,0
SEA 36-1738,KI,295,97,190,0,91,2
SEA 11-1639,KI,551,89,193,0,104,0
SEA 36-1329,KI,410,148,254,0,104,2
SEA 43-3665,KI,379,76,184,0,106,2
SEA 36-1812,KI,469,129,251,0,122,0
SEA 36-1813,KI,330,97,174,0,77,0
SEA 11-1550,KI,563,95,222,0,125,2
SEA 46-2299,KI,393,109,229,0,118,2
SEA 11-1552,KI,379,90,166,0,72,4
SEA 36-1815,KI,453,102,273,0,171,0
SEA 43-2928,KI,639,193,339,0,144,2
SEA 37-1576,KI,435,56,186,0,127,3
SEA 37-1574,KI,417,71,179,0,104,4
SEA 37-1575,KI,377,55,124,0,69,0
SEA 37-1572,KI,307,82,180,0,94,4
SEA 36-3679,KI,314,71,137,0,66,0
SEA 37-1570,KI,659,133,304,0,169,2
SEA 37-1571,KI,432,111,250,0,136,3
SEA 34-1511,KI,320,87,172,0,83,2
SEA 37-1578,KI,413,78,172,0,92,2
SEA 37-1579,KI,247,49,108,0,56,3
SEA 46-2304,KI,369,122,233,0,111,0
SEA 36-2170,KI,450,157,285,0,127,1
SEA 46-2306,KI,307,100,195,0,94,1
SEA 46-2307,KI,313,101,215,0,114,0
