Row Label,County,Jason Ritchie,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Dave Reichert
AUB 47-0073,KI,119,687,10,244,0,0,115
COALFIELD,KI,161,713,13,396,1,2,219
ISS 05-0548,KI,201,772,22,398,0,0,175
AUB 47-0074,KI,145,569,5,294,0,0,144
SAM 45-0536,KI,200,758,18,444,0,1,225
M-V 05-2614,KI,138,831,10,422,1,3,270
FALL CITY,KI,108,520,16,275,0,1,150
SNQ 05-3667,KI,81,451,14,224,0,0,129
VEAZIE,KI,98,619,19,356,0,0,239
AUB 31-0058,KI,60,290,4,172,0,0,108
M-V 05-3373,KI,118,662,22,360,0,1,219
AUB 31-0054,KI,96,527,4,214,0,0,114
AUB 31-0051,KI,76,530,3,166,0,0,87
AUB 31-0050,KI,79,421,7,188,0,0,102
FAIRMONT GLEN,KI,116,497,10,277,0,0,151
KRAIN,KI,116,565,12,372,0,0,244
M-V 05-3367,KI,108,763,15,358,0,2,233
M-V 05-3366,KI,70,446,5,172,0,0,97
COV 47-2711,KI,99,536,11,255,0,0,145
MUCKLESHOOT,KI,31,395,1,54,0,0,22
M-V 05-3369,KI,124,680,14,383,0,2,243
M-V 05-3368,KI,116,748,18,350,0,3,213
HOLM LAKE,KI,121,710,20,415,0,0,274
COV 47-2390,KI,85,505,8,204,0,0,111
KEN 47-0910,KI,132,765,14,309,0,0,163
CADDIS,KI,83,366,10,211,0,0,118
AUB 47-3276,KI,104,610,5,247,0,0,138
MATTHEW,KI,97,461,15,243,0,0,131
MCCOY,KI,96,646,14,368,0,1,257
COV 47-3581,KI,85,385,7,180,0,0,88
ENM 05-3414,KI,0,0,0,0,0,0,0
STACY,KI,33,173,6,89,0,0,50
AUB 47-2700,KI,42,212,1,73,0,1,29
AUB 47-2701,KI,60,486,2,146,0,2,82
KEN 47-3352,KI,0,0,0,0,0,0,0
SNQ 05-3513,KI,163,896,26,463,0,0,274
SNQ 05-3511,KI,143,860,18,477,0,0,316
ISS 05-3504,KI,137,610,15,267,0,0,115
M-V 05-2857,KI,160,703,9,394,0,0,225
ISS 05-3503,KI,119,504,15,240,0,2,104
ANGELO,KI,80,425,13,232,0,1,138
SNQ 05-3560,KI,99,502,14,263,0,1,149
PINE,KI,22,139,4,76,0,0,50
DORRE DON,KI,155,793,11,477,0,1,310
KEN 47-3184,KI,149,776,16,384,0,0,219
LITTLE SOOS,KI,97,463,6,268,0,0,165
KEN 47-3180,KI,97,541,5,187,0,0,85
SQUAK MOUNTAIN,KI,45,188,3,115,0,0,67
CEDAR PARK,KI,48,245,2,118,0,1,67
RENHILL,KI,90,406,14,204,0,0,100
GREEN VALLEY,KI,64,370,9,223,0,2,148
ISS 05-0543,KI,173,622,15,314,0,0,126
ISS 05-0547,KI,102,327,7,191,0,0,82
ISS 05-0546,KI,61,220,3,121,0,0,57
ISS 05-0545,KI,87,316,7,172,0,2,76
ISS 05-0544,KI,146,647,15,295,0,1,133
ISS 05-3572,KI,177,855,18,331,0,0,136
SNQ 05-1097,KI,74,402,15,177,0,0,88
M-V 05-0697,KI,146,673,13,385,0,0,226
MORRIS,KI,150,736,12,359,0,1,196
SAM 45-3213,KI,140,558,16,295,0,0,139
SAM 45-3216,KI,170,710,18,362,0,2,172
SAM 45-3217,KI,194,641,22,424,0,0,208
M-V 05-3322,KI,79,382,8,189,0,0,102
THRUSH,KI,77,275,3,144,0,1,63
FAIRHAVEN,KI,179,808,15,439,0,1,244
M-V 05-3242,KI,109,588,17,262,0,0,136
AUB 47-0041,KI,137,735,11,303,1,0,154
AUB 47-0045,KI,194,674,5,351,0,0,152
M-V 05-3245,KI,112,636,9,367,0,1,245
AUB 30-3477,KI,28,203,2,65,0,0,35
AUB 30-3476,KI,43,264,2,86,0,2,39
GRIFFITH,KI,139,576,14,288,0,0,135
SI VIEW,KI,105,433,10,259,0,1,143
KEN 47-0482,KI,132,671,11,301,0,1,157
ISS 05-3651,KI,93,396,7,170,0,0,70
SAM 41-3654,KI,129,475,9,287,0,1,148
COV 47-2982,KI,87,553,13,251,0,0,151
TAHOMA,KI,107,571,11,313,0,0,195
KEN 47-2585,KI,145,819,12,431,0,0,274
SAM 45-2965,KI,142,586,13,324,0,0,169
SAM 45-2961,KI,142,531,12,318,0,0,164
SAM 45-2620,KI,148,491,7,305,0,0,150
SAM 45-2963,KI,179,774,21,448,0,0,248
RAVENSDALE,KI,77,497,10,252,0,0,165
AUB 47-2839,KI,160,692,9,430,0,0,261
PLAINS,KI,118,742,11,430,0,0,301
SAM 41-2973,KI,164,723,27,434,0,0,243
ISS 41-1208,KI,153,649,13,369,0,0,203
SIERRA,KI,128,690,9,373,0,0,236
SAM 45-2684,KI,71,304,4,169,0,0,94
KEN 47-1151,KI,81,398,5,229,0,0,143
TIGER MTN,KI,213,742,21,447,3,2,208
MERGANSER,KI,92,627,13,351,0,0,246
DIAMOND,KI,22,227,4,120,0,0,94
CYPRESS,KI,0,0,0,0,0,0,0
SNQ 05-3409,KI,124,787,18,399,0,0,257
M-V 05-0528,KI,86,344,11,266,0,0,169
FAIRWOOD,KI,60,267,8,176,0,0,108
KEN 47-3579,KI,42,273,5,100,0,0,53
RATTLESNAKE,KI,97,605,16,333,0,3,217
JEFFERSON,KI,157,829,15,404,0,1,231
SAM 41-0307,KI,107,525,14,291,0,1,169
AUB 47-3456,KI,107,795,8,305,0,2,188
IDA,KI,61,260,6,146,0,0,79
B-D 05-3310,KI,90,492,12,273,0,0,171
ELIZABETH,KI,102,601,13,273,0,0,158
CAMELOT,KI,98,479,8,211,0,1,104
COV 47-3365,KI,66,286,5,164,0,0,93
ENM 31-0413,KI,140,655,12,363,0,0,211
ENM 31-0411,KI,138,765,5,410,0,0,267
ENM 31-0410,KI,90,644,11,297,0,0,196
ENM 31-0417,KI,61,249,4,143,0,0,78
ENM 31-0416,KI,130,695,12,402,0,0,260
ENM 31-0415,KI,43,259,8,142,0,1,90
ENM 31-0419,KI,79,480,6,231,0,0,146
ENM 31-0418,KI,115,565,16,322,0,0,191
AUB 47-2729,KI,73,396,9,182,0,0,100
THOMAS,KI,86,442,10,249,0,0,153
FOUR LAKES,KI,133,733,15,403,0,0,255
SAM 45-2791,KI,203,637,20,411,0,1,187
COV 47-0566,KI,115,724,10,308,0,1,182
AUB 31-3335,KI,142,732,10,351,0,0,199
AUB 31-0042,KI,75,509,10,240,0,1,154
SUNSET,KI,43,230,6,121,0,1,71
AUB 31-0047,KI,106,574,7,264,0,2,149
KILLARNEY,KI,113,466,3,264,0,2,146
AUB 31-0048,KI,29,210,5,78,0,0,44
AUB 31-0049,KI,85,450,8,195,0,3,99
KEN 47-3408,KI,66,374,3,141,0,2,70
SAM 45-2575,KI,205,770,13,496,0,2,276
FREEDOM,KI,119,726,9,378,0,1,249
KEN 47-3402,KI,91,669,8,322,0,2,221
M-V 05-3272,KI,131,878,17,436,0,1,287
ISS 05-3145,KI,168,895,24,406,0,1,213
COV 47-0313,KI,96,428,8,241,0,2,135
WAXWING,KI,70,295,7,178,0,0,101
FAIRVILLE,KI,126,575,9,298,0,1,162
KEN 47-3493,KI,104,554,5,269,0,0,160
COV 47-3279,KI,129,713,9,342,0,0,204
FOREST,KI,118,572,10,313,0,2,183
RIVERBEND,KI,154,762,21,345,0,0,170
KENTLAKE,KI,107,647,16,290,0,1,166
AUB 47-3260,KI,153,886,16,485,0,0,316
AUB 30-0053,KI,85,437,7,185,0,1,92
ISS 05-2929,KI,188,562,17,341,0,2,134
OSCEOLA,KI,112,557,7,336,0,1,216
COV 47-1145,KI,122,696,12,318,1,0,183
NEUWAUKUM,KI,58,356,7,199,0,0,134
HOBART,KI,136,621,12,374,0,3,223
MADISON,KI,41,305,3,157,0,0,113
COV 47-3597,KI,59,293,5,150,0,0,86
ISS 05-3138,KI,135,435,10,287,0,0,142
AUB 47-1066,KI,92,370,13,211,0,0,106
ISS 41-2605,KI,104,434,12,240,0,0,124
ISS 41-2602,KI,135,817,21,379,0,1,222
JOVITA,KI,63,454,8,232,0,1,160
ISS 41-2977,KI,73,397,2,137,0,0,62
BRINN,KI,146,848,18,513,0,1,348
SAM 41-2942,KI,143,726,26,385,0,0,216
SAM 41-2940,KI,72,243,6,136,0,0,58
