Row Label,PrecinctCode,County,Registered Voters,Yes,No
31-843,31843,PI,NULL,165,138
31-844,31844,PI,NULL,177,125
31-845,31845,PI,NULL,190,176
31-846,31846,PI,NULL,92,70
31-847,31847,PI,NULL,149,61
31-848,31848,PI,NULL,55,23
31-849,31849,PI,NULL,77,68
31-853,31853,PI,NULL,57,29
31-854,31854,PI,NULL,131,76
31-855,31855,PI,NULL,186,99
31-856,31856,PI,NULL,236,142
31-857,31857,PI,NULL,144,98
31-861,31861,PI,NULL,87,31
31-865,31865,PI,NULL,87,45
31-869,31869,PI,NULL,160,65
31-873,31873,PI,NULL,48,37
31-874,31874,PI,NULL,0,0
31-875,31875,PI,NULL,341,226
31-876,31876,PI,NULL,16,9
31-877,31877,PI,NULL,134,97
31-879,31879,PI,NULL,71,37
31-880,31880,PI,NULL,93,74
31-881,31881,PI,NULL,179,124
31-882,31882,PI,NULL,251,223
31-883,31883,PI,NULL,277,318
31-884,31884,PI,NULL,322,231
31-885,31885,PI,NULL,91,88
31-886,31886,PI,NULL,256,191
31-887,31887,PI,NULL,215,167
31-888,31888,PI,NULL,224,124
31-890,31890,PI,NULL,130,122
31-891,31891,PI,NULL,82,81
31-892,31892,PI,NULL,174,141
31-893(*),31893,PI,NULL,0,0
31-894,31894,PI,NULL,37,29
31-895,31895,PI,NULL,221,147
31-896(*),31896,PI,NULL,0,0
31-897,31897,PI,NULL,136,94
31-898,31898,PI,NULL,306,189
31-899,31899,PI,NULL,153,104
31-900,31900,PI,NULL,153,158
31-901,31901,PI,NULL,25,25
31-902,31902,PI,NULL,312,320
31-903(*),31903,PI,NULL,0,0
31-904,31904,PI,NULL,47,34
31-905,31905,PI,NULL,278,135
31-906,31906,PI,NULL,158,77
31-907,31907,PI,NULL,252,118
31-908,31908,PI,NULL,177,127
31-909,31909,PI,NULL,210,116
31-910,31910,PI,NULL,234,130
31-911,31911,PI,NULL,146,98
31-912,31912,PI,NULL,189,92
31-913,31913,PI,NULL,126,61
31-914,31914,PI,NULL,214,87
31-915,31915,PI,NULL,46,29
31-916,31916,PI,NULL,245,145
31-917,31917,PI,NULL,346,233
31-919,31919,PI,NULL,246,139
31-920,31920,PI,NULL,177,126
31-921,31921,PI,NULL,270,109
31-923,31923,PI,NULL,220,103
31-924,31924,PI,NULL,197,86
31-925,31925,PI,NULL,53,68
31-926,31926,PI,NULL,8,7
31-927,31927,PI,NULL,277,116
