Row Label,PrecinctCode,County,Registered Voters,Dave Aldrich,Bruce King
STANWOOD 7,21011712,SN,NULL,65,76
FLORENCE,21014002,SN,NULL,52,63
PORT SUSAN,21014004,SN,NULL,193,174
CEDARHOME,21014022,SN,NULL,117,136
CLIFF,21014025,SN,NULL,94,83
STANBY,21014030,SN,NULL,39,34
SILVANA,21014037,SN,NULL,98,83
LAKEWOOD,21014061,SN,NULL,112,113
VILLAGE,21014073,SN,NULL,187,177
LAKE GOODWIN,21014087,SN,NULL,219,171
KACKMAN,21014296,SN,NULL,102,99
ROWLAND,21014319,SN,NULL,97,79
THOMPSON,21014323,SN,NULL,154,152
WATERS,21014332,SN,NULL,150,160
MC RAE,21014352,SN,NULL,108,81
HAPPY VALLEY,21014457,SN,NULL,95,78
SHOECRAFT,21014483,SN,NULL,132,156
LAKE HOWARD,21014502,SN,NULL,115,119
MC DONALD,21014545,SN,NULL,95,84
KAYAK,21014638,SN,NULL,122,109
SILVANA TERRACE,21014682,SN,NULL,97,80
KETCHUM,21014700,SN,NULL,113,132
ROSE,21014708,SN,NULL,85,113
SUNDAY LAKE,21014714,SN,NULL,169,164
MUKILTEO  1,22121192,SN,NULL,176,166
MUKILTEO  2,22121193,SN,NULL,229,155
MUKILTEO  3,22121194,SN,NULL,117,102
EVERETT  56,22121259,SN,NULL,104,109
EVERETT  57,22121260,SN,NULL,125,116
MUKILTEO  4,22121262,SN,NULL,107,91
MUKILTEO  5,22121263,SN,NULL,178,178
MUKILTEO  7,22121306,SN,NULL,124,88
MUKILTEO  8,22121307,SN,NULL,111,88
MUKILTEO  9,22121355,SN,NULL,131,116
MUKILTEO 11,22121378,SN,NULL,144,87
MUKILTEO 12,22121379,SN,NULL,230,140
MUKILTEO 13,22121380,SN,NULL,150,112
MUKILTEO 14,22121381,SN,NULL,193,126
MUKILTEO 16,22121382,SN,NULL,195,150
MUKILTEO 18,22121383,SN,NULL,193,136
EVERETT  35,22121400,SN,NULL,129,117
EVERETT  64,22121405,SN,NULL,54,58
EVERETT  65,22121406,SN,NULL,109,110
EVERETT  66,22121407,SN,NULL,119,109
EVERETT  84,22121448,SN,NULL,29,41
MUKILTEO 19,22121474,SN,NULL,124,82
MUKILTEO 20,22121475,SN,NULL,180,123
EVERETT  91,22121491,SN,NULL,83,91
EVERETT  52,22121615,SN,NULL,122,98
EVERETT  61,22121616,SN,NULL,30,18
EVERETT  79,22121621,SN,NULL,115,101
EVERETT  83,22121622,SN,NULL,96,109
EVERETT  92,22121624,SN,NULL,2,2
MUKILTEO  6,22121631,SN,NULL,140,133
MUKILTEO 15,22121632,SN,NULL,43,49
MUKILTEO 17,22121633,SN,NULL,200,151
MUKILTEO 10,22121655,SN,NULL,115,77
EVERETT  95,22121697,SN,NULL,59,59
MUKILTEO 21,22121704,SN,NULL,100,58
HIWAY,22124068,SN,NULL,16,12
SHELBY,22124100,SN,NULL,120,85
LIND,22124185,SN,NULL,137,118
YORK,22124274,SN,NULL,148,133
WINGATE,22124337,SN,NULL,153,116
STOCK SHOW,22124486,SN,NULL,65,63
OLIVIA,22124589,SN,NULL,17,15
LYNNWOOD 19,22131422,SN,NULL,142,100
LYNNWOOD 34,22131538,SN,NULL,72,58
MEADOWDALE,22134040,SN,NULL,119,106
EMANDER,22134063,SN,NULL,141,118
ASH,22134076,SN,NULL,168,140
MANOR,22134079,SN,NULL,134,106
MANORDALE,22134080,SN,NULL,118,89
SERENE,22134082,SN,NULL,115,117
STICKNEY,22134084,SN,NULL,122,133
FIELD,22134088,SN,NULL,124,121
ALICIA,22134150,SN,NULL,150,120
CASCADE,22134152,SN,NULL,87,85
GROVE,22134183,SN,NULL,147,138
PIONEER,22134195,SN,NULL,130,104
GIBSON,22134265,SN,NULL,86,83
HEMLOCK,22134268,SN,NULL,190,132
COVE,22134282,SN,NULL,102,120
EMERALD,22134286,SN,NULL,111,130
PICNIC POINT,22134314,SN,NULL,117,89
SHORE,22134320,SN,NULL,138,144
NORMA,22134356,SN,NULL,108,99
PUGET,22134359,SN,NULL,132,84
SHADOW WOOD,22134362,SN,NULL,133,100
ALDER,22134368,SN,NULL,123,90
KEELER,22134373,SN,NULL,100,89
MARINER,22134427,SN,NULL,103,102
POST,22134434,SN,NULL,126,117
HAMPTON,22134456,SN,NULL,130,130
HIPOINT,22134459,SN,NULL,89,68
JEFF,22134460,SN,NULL,101,90
MADISON,22134463,SN,NULL,172,155
